ProductID,ProductName,ProductBrand,Gender,Price,NumImages,ID,Description,PrimaryColor
10052629,Fastrack Women Grey Analogue Watch 68009PP10,Fastrack,Women,1596,5,10052629,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round plastic dialFeatures: Reset TimeStrap style: Grey regular, silicon strap with a tang closureWater resistance: 30 mWarranty: 2 yearsWarranty provided by brand/manufacturerComes in a Fastrack case",Grey
10038731,Mali Fionna Gold-Toned Stone-Studded Cuff Bracelet,Mali Fionna,Women,449,3,10038731,Gold-Toned cuff braceletMaterial and stone type: Alloy with artificial stonesClosure: Slip-On,Gold
10052745,Titan Workwear Women White Analogue watch NL2596SL01,Titan,Women,2076,5,10052745,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset Time, Date ApertureStrap style: Blue regular, leather strap with a tang closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case",White
10053909,Respiro Men Brown & Black Comfort Sandals,Respiro,Men,593,5,10053909,A pair of brown and black comfort sandalsSynthetic Leather upper with slip-on closureCushioned footbedPatterned synthetic outsoleWarranty: 1 monthWarranty provided by brand/manufacturer,Black
10051997,Sonata Sleek Men Black Analogue watch 7131NL02,Sonata,Men,1999,5,10051997,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset Time, Date ApertureStrap style: Brown regular, leather strap with a tang closureWater resistance: 30 mWarranty: 1 yearWarranty provided by brand/manufacturer Comes in a signature Sonata case",Black
10052737,Titan Ceramics Men Black Analogue watch NL90089KD02,Titan,Men,12396,5,10052737,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round stainless steel dialFeatures: Chronograph, Reset TimeStrap style: Black bracelet style, stainless steel strap with a butterfly closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case",Black
10039905,Da Intimo Women White Solid Camisole DI-764-N,Da Intimo,Women,519,5,10039905,"White solid camisole, has shoulder straps, criss-cross detailing at the back.",White
10043665,Cherry Crumble Girls Pink Solid Sweater,Cherry Crumble,Girls,857,5,10043665,"Pink solid sweater, has a round neck, long sleeves, and straight hem",Pink
10060549,CODE by Lifestyle Men Navy Blue Regular Fit Striped Casual Shirt,CODE by Lifestyle,Men,849,4,10060549,"Navy Blue striped casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",Blue
10058537,Roadster Women Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Roadster,Women,1299,7,10058537,"Blue medium wash 5-pocket mid-rise jeans, clean look, heavy fade, has a button and zip closure, and waistband with belt loops",Blue
10055975,Fame Forever by Lifestyle Men Black Solid Round Neck T-shirt,Fame Forever by Lifestyle,Men,599,4,10055975,"Black solid T-shirt, has a round neck, and short sleeves",Black
10054431,Veni Vidi Vici Women Rust Orange Solid Fitted Crop Top,Veni Vidi Vici,Women,468,5,10054431,"Rust orange solid knitted fitted crop top with tie-up detail, has shoulder straps",Orange
10053159,Killer Men Black Printed Sweatshirt,Killer,Men,1999,6,10053159,"Black Printed Sweatshirt, has a round neck, long sleeves",Black
10060299,CODE by Lifestyle Men Blue Slim Fit Printed Formal Shirt,CODE by Lifestyle,Men,749,4,10060299,"Blue printed formal shirt, has a cutaway collar, long sleeves, button placket, curved hem, and 1 patch pocket",Blue
10052701,Titan Workwear Women White Analogue watch NL2588KM01,Titan,Women,3836,4,10052701,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset Time, CalendarStrap style: Silver-Toned regular, stainless steel strap with a foldover closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case",White
10052085,Sonata Blush Women Pink Analogue watch 8123WM01,Sonata,Women,2299,4,10052085,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset TimeStrap style: Rose Gold-Toned bracelet style, stainless steel strap with a foldover closureWater resistance: 30 mWarranty: 1 yearWarranty provided by brand/manufacturer Comes in a signature Sonata case",Pink
10052625,Fastrack Fundamentals Women Blue Analogue watch NL68008SM03,Fastrack,Women,1080,5,10052625,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset TimeStrap style: Silver-Toned regular, stainless steel strap with a foldover closureWater resistance: 30 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Fastrack case",Blue
10063545,Red Tape Men Black Leather Formal Derbys,Red Tape,Men,1049,5,10063545,"A pair of black round-toed formal derbys, has central lace-upsLeather upper, has a textured detailCushioned footbedTextured PVC outsole, has a stacked heelWarranty: 3 months against manufacturing defectsWarranty provided by brand/manufacturer",Red
10056457,Fame Forever by Lifestyle Men Mustard Yellow Printed Round Neck T-shirt,Fame Forever by Lifestyle,Men,299,5,10056457,"Mustard yellow printed T-shirt, has a round neck, and short sleeves",Yellow
10048255,Elizabeth Arden New York Beautiful Color Bold Extreme Pink Liquid Lipstick 01,Elizabeth Arden,Women,2040,2,10048255,"Shade nameExtreme Pink 01What it isCreamy, high impact liquid lipstickWhat it doesThis creamy, high impact lip color provides the coverage and intensity of a lipstick with the shine of a glossUsing the unique flocked tip applicator, push the lever of the click pen up to release just the right amount of productLips are saturated with intense color while rich emollients leave them feeling luxuriously moisturised and comfortableLong-lasting color that doesn't feather or bleedIngredientsEmollient ester and glycerinePigmetsResinFilmogen polymers",Pink
10040837,Besiva Women Pink Printed Round Neck T-shirt,Besiva,Women,629,5,10040837,"Pink printed T-shirt, has a round neck, and short sleeves",Pink
10053683,Alcis Men Black Solid Training Slim Fit Track Pants,Alcis,Men,999,5,10053683,"Black solid track pants, has an elasticated waistband with drawstring closure, three pocketsEngineered with Rapid Dry technology",Black
10054577,Veni Vidi Vici Women Black Solid Fitted Crop Top,Veni Vidi Vici,Women,468,5,10054577,"Black solid knitted fitted crop top with cut-out detail, has a boat neck, long sleeves, and adjustable waist tie-up on the front",Black
10054583,Veni Vidi Vici Women Sea Green Solid Bardot Crop Top,Veni Vidi Vici,Women,516,5,10054583,"Sea green solid knitted bardot crop top with knot detail, has shoulder straps, and long sleeves",Green
10052725,Titan Men Black Analogue Watch 90104KM04,Titan,Men,7596,5,10052725,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round stainless steel dialFeatures: Chronograph, Multi Function, Reset TimeStrap style: Silver-Toned bracelet style, stainless steel strap with a foldover closureWater resistance: 100 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case",Black
10046861,Roadster Men Blue Skinny Fit Mid-Rise Clean Look Acid Wash Stretchable Jeans,Roadster,Men,1299,7,10046861,"Blue medium acid wash 5-pocket mid-rise jeans, clean look, heavy fade, has a button and zip closure, and waistband with belt loops",Blue
10039963,berrytree Unisex Navy Blue Solid Polo Collar Slim Fit Sustainable T-shirt,berrytree,Unisex Kids,499,6,10039963,"Navy blue solid Sustainable T-shirt, has a polo collar, and long sleeves",Blue
10051541,DODO & MOA Women Red Solid Basic Jumpsuit,DODO & MOA,Women,976,5,10051541,"Red solid basic jumpsuit, has a round neck, sleeveless",Red
10038943,Sergio Tacchini Men Blue Sneakers,Sergio Tacchini,Men,3999,5,10038943,"A pair of round-toe blue sneakers, has regular styling, lace-up detailCanvas upperCushioned footbedTextured and patterned outsoleWarranty: 1 monthWarranty provided by brand/manufacturer",Blue
